id,source,target,weight
1,打击违法犯罪,法治,1
2,网络安全,法治,1
3,法治社区,法治,1
4,乡村知识产权,法治,1
5,住房权益,法治,1
6,赌博,打击违法犯罪,1
7,犯罪,打击违法犯罪,1
8,酒驾,打击违法犯罪,1
9,执法,打击违法犯罪,1
10,醉驾,打击违法犯罪,1
11,网络,网络安全,1
12,个人信息,网络安全,1
13,平台,网络安全,1
14,互联网,网络安全,1
15,APP,网络安全,1
16,法治,法治社区,1
17,文化,法治社区,1
18,社区,法治社区,1
19,纠纷,法治社区,1
20,调解,法治社区,1
21,法律,法治社区,1
22,知识产权,乡村知识产权,1
23,乡村,乡村知识产权,1
24,酒精,乡村知识产权,1
25,惩罚性,乡村知识产权,1
26,保护,乡村知识产权,1
27,公司,住房权益,1
28,合同,住房权益,1
29,房屋中介,住房权益,1
30,支付,住房权益,1
31,家具,住房权益,1
32,作风建设,奋斗百年路 启航新征程专题,1
33,冬奥会,奋斗百年路 启航新征程专题,1
34,试验区改革,奋斗百年路 启航新征程专题,1
35,脱贫攻坚,奋斗百年路 启航新征程专题,1
36,京津冀协同发展,奋斗百年路 启航新征程专题,1
37,活动,作风建设,1
38,教育,作风建设,1
39,作风,作风建设,1
40,群众路线,作风建设,1
41,干部,作风建设,1
42,领导,作风建设,1
43,北京,冬奥会,1
44,奥运,冬奥会,1
45,奥运会,冬奥会,1
46,世界,冬奥会,1
47,改革,试验区改革,1
48,发展,试验区改革,1
49,深化改革,试验区改革,1
50,试验区,试验区改革,1
51,战略,试验区改革,1
52,总书记,脱贫攻坚,1
53,特色,脱贫攻坚,1
54,习近平,脱贫攻坚,1
55,群众,脱贫攻坚,1
56,脱贫,脱贫攻坚,1
57,发展,京津冀协同发展,1
58,北京,京津冀协同发展,1
59,京津冀,京津冀协同发展,1
60,中心,京津冀协同发展,1
61,企业,京津冀协同发展,1
62,党史学习,要闻,1
63,国际合作 抗击疫情,要闻,1
64,贯彻一国两制,要闻,1
65,民生保障,要闻,1
66,企业服务,要闻,1
67,习近平,党史学习,1
68,党史,党史学习,1
69,历史,党史学习,1
70,发展,党史学习,1
71,学习,党史学习,1
72,总书记,党史学习,1
73,政治,党史学习,1
74,教育,党史学习,1
75,烈士,党史学习,1
76,群众,党史学习,1
77,世界,国际合作 抗击疫情,1
78,亚洲,国际合作 抗击疫情,1
79,全球,国际合作 抗击疫情,1
80,发展,国际合作 抗击疫情,1
81,合作,国际合作 抗击疫情,1
82,国际,国际合作 抗击疫情,1
83,推动,国际合作 抗击疫情,1
84,文化,国际合作 抗击疫情,1
85,法治,国际合作 抗击疫情,1
86,疫情,国际合作 抗击疫情,1
87,疫苗,国际合作 抗击疫情,1
88,经济,国际合作 抗击疫情,1
89,产品,贯彻一国两制,1
90,保护,贯彻一国两制,1
91,创新,贯彻一国两制,1
92,制度,贯彻一国两制,1
93,发展,贯彻一国两制,1
94,国家,贯彻一国两制,1
95,完善,贯彻一国两制,1
96,我国,贯彻一国两制,1
97,构建,贯彻一国两制,1
98,生态,贯彻一国两制,1
99,经济,贯彻一国两制,1
100,香港,贯彻一国两制,1
101,保障,民生保障,1
102,国务院,民生保障,1
103,情况,民生保障,1
104,接种,民生保障,1
105,服务,民生保障,1
106,武汉,民生保障,1
107,疫苗,民生保障,1
108,监督,民生保障,1
109,社区,民生保障,1
110,粮食,民生保障,1
111,群众,民生保障,1
112,耕地,民生保障,1
113,脱贫,民生保障,1
114,草案,民生保障,1
115,部门,民生保障,1
116,预算,民生保障,1
117,一季度,企业服务,1
118,乡村,企业服务,1
119,产业,企业服务,1
120,企业,企业服务,1
121,农业,企业服务,1
122,创新,企业服务,1
123,发展,企业服务,1
124,同比,企业服务,1
125,增长,企业服务,1
126,技术,企业服务,1
127,服务,企业服务,1
128,经济,企业服务,1
129,项目,企业服务,1
130,高校,企业服务,1
131,医疗体制改革,社会,1
132,社区住房改造,社会,1
133,企业培训与就业,社会,1
134,中医,医疗体制改革,1
135,中药,医疗体制改革,1
136,农民工,医疗体制改革,1
137,发展,医疗体制改革,1
138,政策措施,医疗体制改革,1
139,服务,医疗体制改革,1
140,残疾人,医疗体制改革,1
141,中心,医疗体制改革,1
142,健康,医疗体制改革,1
143,医疗体制改革,医疗体制改革,1
144,医院,医疗体制改革,1
145,患者,医疗体制改革,1
146,服务,医疗体制改革,1
147,诊疗,医疗体制改革,1
148,治理,医疗体制改革,1
149,住房,社区住房改造,1
150,发展,社区住房改造,1
151,居民,社区住房改造,1
152,改造,社区住房改造,1
153,服务,社区住房改造,1
154,机构,社区住房改造,1
155,社区,社区住房改造,1
156,供水,社区住房改造,1
157,公交,社区住房改造,1
158,小区,社区住房改造,1
159,居民,社区住房改造,1
160,工程,社区住房改造,1
161,社区,社区住房改造,1
162,产业,企业培训与就业,1
163,企业,企业培训与就业,1
164,发展,企业培训与就业,1
165,培训,企业培训与就业,1
166,就业,企业培训与就业,1
167,日本福岛核废水排放,国际,1
168,发展中国家人权问题,国际,1
169,海洋开发及保护,国际,1
170,国际文化交流,国际,1
171,疫情间的国际合作,国际,1
172,国际,日本福岛核废水排放,1
173,废水,日本福岛核废水排放,1
174,日本,日本福岛核废水排放,1
175,日本政府,日本福岛核废水排放,1
176,福岛,日本福岛核废水排放,1
177,人权,发展中国家人权问题,1
178,农业,发展中国家人权问题,1
179,博物馆,发展中国家人权问题,1
180,国家,发展中国家人权问题,1
181,地区,发展中国家人权问题,1
182,提供,发展中国家人权问题,1
183,政府,发展中国家人权问题,1
184,疫情,发展中国家人权问题,1
185,移民,发展中国家人权问题,1
186,非洲,发展中国家人权问题,1
187,保护,海洋开发及保护,1
188,公司,海洋开发及保护,1
189,发展,海洋开发及保护,1
190,技术,海洋开发及保护,1
191,数字,海洋开发及保护,1
192,智能,海洋开发及保护,1
193,海洋,海洋开发及保护,1
194,经济,海洋开发及保护,1
195,项目,海洋开发及保护,1
196,中国共产党,国际文化交流,1
197,发展,国际文化交流,1
198,学校,国际文化交流,1
199,学生,国际文化交流,1
200,孩子,国际文化交流,1
201,教育,国际文化交流,1
202,文化,国际文化交流,1
203,艺术,国际文化交流,1
204,亚洲,疫情间的国际合作,1
205,全球,疫情间的国际合作,1
206,发展,疫情间的国际合作,1
207,国家,疫情间的国际合作,1
208,复苏,疫情间的国际合作,1
209,疫情,疫情间的国际合作,1
210,疫苗,疫情间的国际合作,1
211,经济,疫情间的国际合作,1
